nickname,userid,voted_at,total weight(metaforo),"total weight(on chain, floored)",⚠️need_review,address,address weight(floored),explorer_url
utxoglobal,50116,2026-01-16 14:48:17 (UTC+0),10000,10000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq04zf6v50rxe6p242yuhjqms5ccn0kdcvsxpgy5h,10000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq04zf6v50rxe6p242yuhjqms5ccn0kdcvsxpgy5h
utxoglobal,50116,2026-01-16 14:48:17 (UTC+0),10000,10000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdyzd7vzqf7je39y9j6edpsta302qg2mpcfreqhx,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdyzd7vzqf7je39y9j6edpsta302qg2mpcfreqhx
utxoglobal,50116,2026-01-16 14:48:17 (UTC+0),10000,10000,False,ckb1qzl58smqy32hnrq6vxjedcxe2fugvnz497h7yvwqvwel40uh4rltcqgpq75wsa8jqg4cz8lf7c92dh9lxsy08lg2xtpvw,0,https://explorer.app5.org/address/ckb1qzl58smqy32hnrq6vxjedcxe2fugvnz497h7yvwqvwel40uh4rltcqgpq75wsa8jqg4cz8lf7c92dh9lxsy08lg2xtpvw
HollowYear,50056,2026-01-16 14:46:46 (UTC+0),1100000,1100000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2m0lfekmwy4kqgd8nwx4e6dwd4zjc5lqsnr3hu2,100000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2m0lfekmwy4kqgd8nwx4e6dwd4zjc5lqsnr3hu2
HollowYear,50056,2026-01-16 14:46:46 (UTC+0),1100000,1100000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdwyhf6puhqrelzxmffjrskk7080lwpzkqt0d0uu,100000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdwyhf6puhqrelzxmffjrskk7080lwpzkqt0d0uu
HollowYear,50056,2026-01-16 14:46:46 (UTC+0),1100000,1100000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtmaka9gav096hu7hl4terdqayuzey5u5swnxvpu,100000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtmaka9gav096hu7hl4terdqayuzey5u5swnxvpu
HollowYear,50056,2026-01-16 14:46:46 (UTC+0),1100000,1100000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqvnay9fmt5d8garaw8d0dy32d42ac7yhlczz2v8y,100000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqvnay9fmt5d8garaw8d0dy32d42ac7yhlczz2v8y
HollowYear,50056,2026-01-16 14:46:46 (UTC+0),1100000,1100000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqwwtuhyjf8rzcrhumw0dlzr5tyfqrkj75sjkct8u,100000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqwwtuhyjf8rzcrhumw0dlzr5tyfqrkj75sjkct8u
HollowYear,50056,2026-01-16 14:46:46 (UTC+0),1100000,1100000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqgqttj8pajtkuyj98shxetr65sna0pdctgzluyej,100000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqgqttj8pajtkuyj98shxetr65sna0pdctgzluyej
HollowYear,50056,2026-01-16 14:46:46 (UTC+0),1100000,1100000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqw3ujf5lplsp4jzlrmx4hl977myufm2v8ga7vg6k,100000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqw3ujf5lplsp4jzlrmx4hl977myufm2v8ga7vg6k
