nickname,userid,voted_at,total weight(metaforo),"total weight(on chain, floored)",⚠️need_review,address,address weight(floored),explorer_url
phill,34020,2026-02-06 07:02:11 (UTC+0),1557056,1557056,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0cznt3gq3v8tsrgdrefg6u2umn0zkuuqq99zpad,555555,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0cznt3gq3v8tsrgdrefg6u2umn0zkuuqq99zpad
phill,34020,2026-02-06 07:02:11 (UTC+0),1557056,1557056,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqgwspjefmd6pu6qsg3s5rsspuph2tjk6qspdt7jv,1001501,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqgwspjefmd6pu6qsg3s5rsspuph2tjk6qspdt7jv
phill,34020,2026-02-06 07:02:11 (UTC+0),1557056,1557056,False,ckb1qzl58smqy32hnrq6vxjedcxe2fugvnz497h7yvwqvwel40uh4rltcq0xkmf3afm86zlxnk9zpc64efxrewmrxjsh46hmp,0,https://explorer.app5.org/address/ckb1qzl58smqy32hnrq6vxjedcxe2fugvnz497h7yvwqvwel40uh4rltcq0xkmf3afm86zlxnk9zpc64efxrewmrxjsh46hmp
Knight,33997,2026-02-06 02:02:16 (UTC+0),1310305,1310305,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqf0ngchg0t322jg69f4a9zxqxv9sfjef3sam0683,90069,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqf0ngchg0t322jg69f4a9zxqxv9sfjef3sam0683
Knight,33997,2026-02-06 02:02:16 (UTC+0),1310305,1310305,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2khj04f0cyyj645948m3cm7sulaumjtdsf8fwcj,290239,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2khj04f0cyyj645948m3cm7sulaumjtdsf8fwcj
Knight,33997,2026-02-06 02:02:16 (UTC+0),1310305,1310305,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqwyy72u6qpcwkaamyzfjc7t66t46xlssmsc7c400,118753,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqwyy72u6qpcwkaamyzfjc7t66t46xlssmsc7c400
Knight,33997,2026-02-06 02:02:16 (UTC+0),1310305,1310305,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0g23h3dnftayrsnvd5mqmkhuwxgxuwrlgff6umv,100244,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0g23h3dnftayrsnvd5mqmkhuwxgxuwrlgff6umv
Knight,33997,2026-02-06 02:02:16 (UTC+0),1310305,1310305,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2smvjx6aeyg4utgzy0a9tftmj5l0fp94gk3epx9,100000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2smvjx6aeyg4utgzy0a9tftmj5l0fp94gk3epx9
Knight,33997,2026-02-06 02:02:16 (UTC+0),1310305,1310305,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqwxm8tnc6cj8zxdltrh3axnhhlzx345tlq5lr7k7,150000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqwxm8tnc6cj8zxdltrh3axnhhlzx345tlq5lr7k7
Knight,33997,2026-02-06 02:02:16 (UTC+0),1310305,1310305,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdpz3j7t3u90szme07tkxdvld74kmfqglg0jtxew,461000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdpz3j7t3u90szme07tkxdvld74kmfqglg0jtxew
Knight,33997,2026-02-06 02:02:16 (UTC+0),1310305,1310305,False,ckb1qzl58smqy32hnrq6vxjedcxe2fugvnz497h7yvwqvwel40uh4rltcq03q7salkxr8q39emgmv3npa4kn240e8rctvru0h,0,https://explorer.app5.org/address/ckb1qzl58smqy32hnrq6vxjedcxe2fugvnz497h7yvwqvwel40uh4rltcq03q7salkxr8q39emgmv3npa4kn240e8rctvru0h
kaixin,50960,2026-02-05 12:34:00 (UTC+0),30000000,30000000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqw208dq57wm9u8kyqvgekcz9nlj97lntrqkf4rwn,5000000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqw208dq57wm9u8kyqvgekcz9nlj97lntrqkf4rwn
kaixin,50960,2026-02-05 12:34:00 (UTC+0),30000000,30000000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqg9tfnasncvu2sfgu55av7e60nv48260vclne5sz,5000000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqg9tfnasncvu2sfgu55av7e60nv48260vclne5sz
kaixin,50960,2026-02-05 12:34:00 (UTC+0),30000000,30000000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2fzjdqq3tn2xyw2jurtennwks7uztpfeqa5qjyc,5000000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2fzjdqq3tn2xyw2jurtennwks7uztpfeqa5qjyc
kaixin,50960,2026-02-05 12:34:00 (UTC+0),30000000,30000000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqv26thzjwl09selm8mscgdx5gq504yeydqtqj3jr,5000000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqv26thzjwl09selm8mscgdx5gq504yeydqtqj3jr
